Model,AIC,BIC,Rsquared,Adjusted_Rsquared,Residual_Std_Error,F_Statistic,P_Value_F,
Model wd_category4,219144.88,219201.79,0.36,0.36,19.09,2787.94,0.00,
Model wd_category8,218133.75,218223.18,0.38,0.38,18.71,1728.34,0.00,
Model month,221405.91,221527.90,0.32,0.32,19.69,906.98,0.00,
Model season,222382.72,222439.65,0.29,0.29,20.08,2072.98,0.00,
Model wd_category4 + bg.no2,191764.56,191828.73,0.48,0.48,17.15,3427.64,0.00,
Model wd_category8 + bg.no2,191294.28,191390.54,0.49,0.49,16.97,2148.71,0.00,
Model month + bg.no2,192594.09,192722.48,0.47,0.47,17.26,1448.14,0.00,
Model season + bg.no2,193227.71,193291.91,0.46,0.46,17.50,3177.57,0.00,
Model wd_category4 + month,217391.80,217538.14,0.40,0.40,18.43,1049.59,0.00,
Model wd_category8 + month,216479.29,216658.15,0.42,0.42,18.10,917.76,0.00,
Model wd_category4 + season,218251.03,218332.33,0.38,0.38,18.75,1920.37,0.00,
Model wd_category8 + season,217262.38,217376.20,0.40,0.40,18.38,1416.61,0.00,
Model wd_category4 + month + bg.no2,190831.80,190984.20,0.50,0.50,16.80,1318.90,0.00,*not included
Model wd_category8 + month + bg.no2,190376.98,190561.47,0.51,0.51,16.63,1111.92,0.00,
Model wd_category4 + season + bg.no2,191355.63,191443.87,0.49,0.49,17.00,2373.82,0.00,
Model wd_category8 + season + bg.no2,190886.34,191006.66,0.50,0.50,16.82,1715.43,0.00,
Model wd_category4 + air_temp_ws,218956.11,219021.15,0.36,0.36,19.02,2372.83,0.00,
Model wd_category8 + air_temp_ws,217987.73,218085.29,0.39,0.39,18.65,1579.49,0.00,
Model month + air_temp_ws,221261.18,221391.31,0.32,0.32,19.64,857.59,0.00,
Model season + air_temp_ws,222267.05,222332.11,0.30,0.29,20.04,1755.17,0.00,
Model wd_category4 + bg.no2 + air_temp_ws,191731.56,191803.75,0.48,0.48,17.14,2947.42,0.00,
Model wd_category4 + bg.no2_ws,191763.30,191835.49,0.48,0.48,17.15,2938.74,0.00,
Model wd_category4 + bg.no2_air_temp,191131.48,191203.67,0.49,0.49,16.91,3113.93,0.00,
Model month + bg.no2 + air_temp_ws,192553.63,192690.04,0.47,0.47,17.24,1356.91,0.00,
Model month + bg.no2_ws,192544.93,192681.34,0.47,0.47,17.24,1358.01,0.00,
Model month + bg.no2_air_temp,192049.67,192186.08,0.49,0.49,17.05,1421.51,0.00,
Model season + bg.no2 + air_temp_ws,192676.64,192748.85,0.47,0.47,17.29,2871.05,0.00,
Model season + bg.no2_ws,193179.54,193251.76,0.46,0.46,17.49,2736.74,0.00,
Model season + bg.no2_air_temp,192676.64,192748.85,0.47,0.47,17.29,2871.05,0.00,
Model wd_category4 + month + air_temp_ws,217178.01,217332.48,0.41,0.41,18.35,1009.08,0.00,
Model wd_category4 + season + air_temp_ws,218072.43,218161.86,0.38,0.38,18.68,1739.39,0.00,
Model wd_category4 + month + bg.no2 + air_temp_ws,190787.54,190947.97,0.50,0.50,16.78,1250.71,0.00,
Model wd_category4 + month + bg.no2_ws,190829.44,190989.87,0.50,0.50,16.79,1246.06,0.00,
Model wd_category4 + month + bg.no2_air_temp,190369.41,190529.84,0.51,0.51,16.62,1297.59,0.00,
Model wd_category4 + season + bg.no2 + air_temp_ws,191327.20,191423.45,0.49,0.49,16.98,2142.28,0.00,
Model wd_category4 + season + bg.no2_ws,191352.20,191448.46,0.49,0.49,16.99,2137.40,0.00,
Model wd_category4 + season + bg.no2_air_temp,190876.46,190972.72,0.50,0.50,16.82,2231.13,0.00,
